#Pin Layout Report file generated by Lattice Diamond Version 1.4.1.91
#Generated at Fri Mar 30 06:48:35 2012
#DESIGN = main
#DEVICE = LCMXO2280C
#PACKAGE = FTBGA256
#SPEEDGRADE = 3
Pin_Number,Pad_Name,Function,IO_Bank_Number,DIFF_Polarity,TYPE,Signal_Name,Direction,DIFF_Pair,IO_TYPE,PULLMODE,DRIVE,SLEWRATE,OPENDRAIN,PCICLAMP,PCS_SERDES,Vref,Vccio,Migration(LAMXO640C),Migration(LAMXO640E),Migration(LCMXO640C),Migration(LCMXO640E),Migration(LAMXO1200E),Migration(LCMXO1200C),Migration(LCMXO1200E),Migration(LAMXO2280E),Migration(LCMXO2280E)
E4,PL2A,LUM0_PLLT_FB_A,7,TRUE_OF_PL2B,FIO,,,,,,,,,,,,,N,N,N,N,N,N,N,Y,Y
E5,PL2B,LUM0_PLLC_FB_A,7,COMP_OF_PL2A,FIO,,,,,,,,,,,,,N,N,N,N,N,N,N,Y,Y
F5,PL3A,,7,TRUE_OF_PL3B,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
F6,PL3B,,7,COMP_OF_PL3A,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
F3,PL3C,LUM0_PLLT_IN_A,7,TRUE_OF_PL3D,FIO,,,,,,,,,,,,,N,N,N,N,N,N,N,Y,Y
F4,PL3D,LUM0_PLLC_IN_A,7,COMP_OF_PL3C,FIO,,,,,,,,,,,,,N,N,N,N,N,N,N,Y,Y
E3,PL4A,,7,TRUE_OF_PL4B,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
E2,PL4B,,7,COMP_OF_PL4A,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
C3,PL4C,,7,TRUE_OF_PL4D,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
C2,PL4D,,7,COMP_OF_PL4C,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
B1,PL5A,,7,TRUE_OF_PL5B,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
C1,PL5B,,7,COMP_OF_PL5A,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
D2,PL6C,,7,TRUE_OF_PL6D,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
D1,PL6D,,7,COMP_OF_PL6C,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
F2,PL7A,,7,TRUE_OF_PL7B,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
G2,PL7B,GSR_PADN,7,COMP_OF_PL7A,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
E1,PL7C,,7,TRUE_OF_PL7D,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
F1,PL7D,,7,COMP_OF_PL7C,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
G4,PL8A,,7,TRUE_OF_PL8B,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
G5,PL8B,,7,COMP_OF_PL8A,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
G3,PL8C,,7,TRUE_OF_PL8D,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
H3,PL8D,,7,COMP_OF_PL8C,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
H4,PL9A,,7,TRUE_OF_PL9B,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
H5,PL9B,,7,COMP_OF_PL9A,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
G1,PL10C,,7,TRUE_OF_PL10D,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
H1,PL10D,,7,COMP_OF_PL10C,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
H2,PL11A,,6,TRUE_OF_PL11B,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
J2,PL11B,,6,COMP_OF_PL11A,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
J3,PL11C,,6,TRUE_OF_PL11D,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
K3,PL11D,,6,COMP_OF_PL11C,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
J1,PL12A,,6,TRUE_OF_PL12B,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
K1,PL12B,,6,COMP_OF_PL12A,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
K2,PL12C,,6,TRUE_OF_PL12D,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
L2,PL12D,,6,COMP_OF_PL12C,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
L1,PL13A,,6,TRUE_OF_PL13B,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
M1,PL13B,,6,COMP_OF_PL13A,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
P1,PL14D,,6,COMP_OF_PL14C,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
N1,PL14C,TSALLPAD,6,TRUE_OF_PL14D,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
L3,PL15A,,6,TRUE_OF_PL15B,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
M3,PL15B,,6,COMP_OF_PL15A,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
M2,PL15C,,6,TRUE_OF_PL15D,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
N2,PL15D,,6,COMP_OF_PL15C,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
J4,PL16A,,6,TRUE_OF_PL16B,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
J5,PL16B,,6,COMP_OF_PL16A,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
R1,PL16C,,6,TRUE_OF_PL16D,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
R2,PL16D,,6,COMP_OF_PL16C,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
K5,PL17A,LLM0_PLLT_FB_A,6,TRUE_OF_PL17B,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
K4,PL17B,LLM0_PLLC_FB_A,6,COMP_OF_PL17A,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
L5,PL17C,,6,TRUE_OF_PL17D,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
L4,PL17D,,6,COMP_OF_PL17C,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
M5,PL18A,LLM0_PLLT_IN_A,6,TRUE_OF_PL18B,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
M4,PL18B,LLM0_PLLC_IN_A,6,COMP_OF_PL18A,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
N4,PL19A,,6,TRUE_OF_PL19B,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
N3,PL19B,,6,COMP_OF_PL19A,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
P4,TMS,TMS,5,Unused,I,,,,,,,,,,,,,Y,Y,Y,Y,N,N,N,Y,Y
P2,PB2A,,5,TRUE_OF_PB2B,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
P3,PB2B,,5,COMP_OF_PB2A,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
N5,PB2C,,5,TRUE_OF_PB2D,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
R3,TCK,TCK,5,Unused,I,,,,,,,,,,,,,Y,Y,Y,Y,N,N,N,Y,Y
N6,PB2D,,5,COMP_OF_PB2C,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
T2,PB3A,,5,TRUE_OF_PB3B,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
T3,PB3B,,5,COMP_OF_PB3A,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
R4,PB3C,,5,TRUE_OF_PB3D,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
R5,PB3D,,5,COMP_OF_PB3C,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
P5,PB4A,,5,TRUE_OF_PB4B,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
P6,PB4B,,5,COMP_OF_PB4A,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
T5,PB4C,,5,TRUE_OF_PB4D,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
M6,TDO,TDO,5,Unused,O,,,,,,,,,,,,,Y,Y,Y,Y,N,N,N,Y,Y
T4,PB4D,,5,COMP_OF_PB4C,FIO,,,,,,,,,,,,,N,N,N,N,N,N,N,Y,Y
R6,PB5A,,5,TRUE_OF_PB5B,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
T6,PB5B,,5,COMP_OF_PB5A,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
N7,TDI,TDI,5,Unused,I,,,,,,,,,,,,,N,N,N,N,N,N,N,Y,Y
T8,PB6A,,5,TRUE_OF_PB6B,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
T7,PB6B,,5,COMP_OF_PB6A,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
M7,PB7C,,5,TRUE_OF_PB7D,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
M8,PB7D,,5,COMP_OF_PB7C,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
T9,VCCAUX,,,Unused,VCCAUX,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
R7,PB8C,,5,TRUE_OF_PB8D,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
R8,PB8D,,5,COMP_OF_PB8C,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
P7,PB9A,,4,TRUE_OF_PB9B,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
P8,PB9B,,4,COMP_OF_PB9A,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
N9,PB10F,PCLKT4_1,4,COMP_OF_PB10E,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
N8,PB10E,,4,TRUE_OF_PB10F,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
P10,PB10D,,4,COMP_OF_PB10C,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
P9,PB10C,,4,TRUE_OF_PB10D,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
M9,PB10B,PCLKT4_0,4,COMP_OF_PB10A,FIO,,,,,,,,,,,,,N,N,N,N,Y,Y,Y,Y,Y
M10,PB10A,,4,TRUE_OF_PB10B,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
R9,PB11C,,4,TRUE_OF_PB11D,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
R10,PB11D,,4,COMP_OF_PB11C,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
T10,PB12A,,4,TRUE_OF_PB12B,FIO,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
