#Pin Out file generated by Lattice Diamond Version 1.4.1.91
#Generated at Fri Mar 30 06:47:36 2012
#DEVICE=LCMXO2280C
#PACKAGE=FTBGA256
Index, Pin/Ball Function, Type, Bank, Dual Function, Differential, Pin Number, DQS, I/O Grouping
1, -, , , -, , -, , +, 
2, GNDIO7, , , -, , GND, , -, 
3, VCCIO7, , 7, -, , VCCIO7, , -, 
4, PL2A, IO, 7, LUM0_PLLT_FB_A, TRUE_OF_PL2B, E4, , -, 
5, PL2B, IO, 7, LUM0_PLLC_FB_A, COMP_OF_PL2A, E5, , -, 
6, PL3A, IO, 7, -, TRUE_OF_PL3B(LVDS)*, F5, , -, 
7, PL3B, IO, 7, -, COMP_OF_PL3A(LVDS)*, F6, , -, 
8, PL3C, IO, 7, LUM0_PLLT_IN_A, TRUE_OF_PL3D, F3, , -, 
9, PL3D, IO, 7, LUM0_PLLC_IN_A, COMP_OF_PL3C, F4, , -, 
10, PL4A, IO, 7, -, TRUE_OF_PL4B(LVDS)*, E3, , -, 
11, PL4B, IO, 7, -, COMP_OF_PL4A(LVDS)*, E2, , -, 
12, PL4C, IO, 7, -, TRUE_OF_PL4D, C3, , -, 
13, VCC, , , -, , VCC, , -, 
14, PL4D, IO, 7, -, COMP_OF_PL4C, C2, , -, 
15, PL5A, IO, 7, -, TRUE_OF_PL5B(LVDS)*, B1, , -, 
16, PL5B, IO, 7, -, COMP_OF_PL5A(LVDS)*, C1, , -, 
17, PL5C, IO, 7, -, TRUE_OF_PL5D, -, , -, 
18, PL5D, IO, 7, -, COMP_OF_PL5C, -, , -, 
19, PL6A, IO, 7, -, TRUE_OF_PL6B(LVDS)*, -, , -, 
20, VCCIO7, , 7, -, , VCCIO7, , -, 
21, GNDIO7, , , -, , GND, , +, 
22, PL6B, IO, 7, -, COMP_OF_PL6A(LVDS)*, -, , +, 
23, PL6C, IO, 7, -, TRUE_OF_PL6D, D2, , +, 
24, PL6D, IO, 7, -, COMP_OF_PL6C, D1, , +, 
25, PL7A, IO, 7, -, TRUE_OF_PL7B(LVDS)*, F2, , +, 
26, PL7B, IO, 7, GSR_PADN, COMP_OF_PL7A(LVDS)*, G2, , +, 
27, PL7C, IO, 7, -, TRUE_OF_PL7D, E1, , +, 
28, PL7D, IO, 7, -, COMP_OF_PL7C, F1, , +, 
29, PL8A, IO, 7, -, TRUE_OF_PL8B(LVDS)*, G4, , +, 
30, PL8B, IO, 7, -, COMP_OF_PL8A(LVDS)*, G5, , +, 
31, GND, , , -, , GND, , -, 
32, PL8C, IO, 7, -, TRUE_OF_PL8D, G3, , -, 
33, PL8D, IO, 7, -, COMP_OF_PL8C, H3, , -, 
34, PL9A, IO, 7, -, TRUE_OF_PL9B(LVDS)*, H4, , -, 
35, PL9B, IO, 7, -, COMP_OF_PL9A(LVDS)*, H5, , -, 
36, PL9C, IO, 7, -, TRUE_OF_PL9D, -, , -, 
37, PL9D, IO, 7, -, COMP_OF_PL9C, -, , -, 
38, PL10A, IO, 7, -, TRUE_OF_PL10B(LVDS)*, -, , -, 
39, VCCIO7, , 7, -, , VCCIO7, , -, 
40, GNDIO7, , , -, , GND, , +, 
